gene,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
FBXO8,13.015644,13.66503766,6.777464867,7.92878822,7.69620418,8.804632559,7.214057752,3.352457294,6.598386239,5.805905712
FBXO9,26.29511863,27.98916075,15.80306442,13.01216454,13.65063583,14.86683858,14.59022916,9.877775954,11.85965456,17.94387734
FBXW11,31.04406981,27.37401436,27.87025796,22.95512073,22.96709353,22.0115814,19.37258205,28.5557523,29.968882,20.08480507
FBXW2,49.02852386,49.07989412,48.96305106,44.88717202,44.23292086,45.86347534,47.05348904,52.95086564,36.85794604,50.43880587
FBXW4,22.86532054,24.43009949,16.4312197,11.70135681,16.9316492,16.12979817,17.14351926,10.56622701,17.29532957,8.944723487
FBXW4P1,1.890786122,1.142414724,1.48773619,0.415621963,3.807595752,1.804227983,1.783250231,0.74831636,1.133643451,0.381012562
FBXW5,25.81142915,37.2163566,26.97761625,41.11460343,31.06836108,31.71832795,37.00244229,29.57346255,24.27159696,28.44893799
FBXW7,22.38163107,21.26648948,31.83755447,23.11497534,22.15696677,21.8311586,19.85892302,17.6602661,20.55092102,15.78480615
FBXW8,9.278043528,10.7211228,10.91006539,11.60544405,6.602533059,8.335533283,8.835194325,9.039661631,9.679571003,9.253162228
FBXW9,0.791491865,1.142414724,0.694276889,1.982197055,1.174683796,1.768143424,1.337437673,1.736093956,1.714999067,2.394936106
FCER1G,1.58298373,2.768158755,4.628512592,2.333877178,4.091140117,2.16507358,1.377966087,1.795959264,35.49176035,3.791982168
FCF1,11.30074496,11.07263502,13.95165938,13.93932123,8.546837273,11.54705909,9.686291026,10.53629435,12.29567127,27.55990868
FCGBP,15.43409137,77.24481098,154.691503,2689.170014,1482.937026,1826.275649,2529.499924,54.65702695,14.56295818,55.59154719
FCGR2A,8.375742802,11.51597981,4.572639833,3.032761494,19.15990284,6.660127178,4.045141035,5.627039702,95.54056326,13.11789965
FCGR2B,4.741475989,2.217602736,10.96230147,3.548772147,7.283849661,3.126727095,3.040846928,0.91025202,45.57653621,0.963598914
FCGR2C,12.91406921,10.03699213,5.690095015,2.050614824,5.799292381,6.306859339,7.180013884,1.663956258,39.16127699,1.104573562
FCGR3A,1.630033524,8.480232377,1.23944955,1.942553114,1.609721864,0.894536234,1.904835474,4.439012648,200.3171232,6.959103734
FCGRT,25.37171145,34.97546618,27.47352831,50.09843202,74.69368688,63.29231766,64.23753672,40.49888141,38.10786062,50.69281424
FCHO1,0.307802392,0.703024446,12.72840963,2.717528221,1.782278863,1.443382387,3.323329976,6.824645205,6.889064047,1.505906794
FCHO2,31.52775929,27.06644116,20.66300264,35.45575055,27.09873998,29.51716981,28.20777638,14.27787615,46.77005929,25.21940294
FCHSD1,5.408527744,9.974159325,11.93495033,5.626881963,6.643039397,7.397334732,10.05104676,9.8478433,7.615758567,2.812235579
FCHSD2,30.0327191,30.01035603,56.46785362,20.71715632,24.50633436,17.03191216,18.19725804,16.34322931,31.7710844,12.50084074
FCMR,0.219858851,0.307573195,65.65875719,14.89844883,2.875949983,3.24761037,9.969989927,2.394612353,1.976609094,1.651054437
FCRL5,0.04397177,1.010597641,20.99361068,11.73332773,2.065823227,3.355864049,3.728614119,1.885757228,2.092880217,1.814345535
FDFT1,21.76602629,31.46034395,40.59866759,139.9367179,46.62279479,57.19402707,57.63140519,137.7800082,30.37583093,58.78479533
FDPS,12.70784161,14.58775725,22.91113733,54.25465165,21.42785269,24.79009249,25.49237262,30.98029731,18.57431193,39.1717201
FDX1,6.683709082,8.172659182,8.595809099,21.99599313,9.113926002,12.19658117,13.8607177,15.05612517,9.476096538,18.94176738
FDX1L,4.045402865,4.042390563,1.619979407,1.566575092,1.741772525,2.16507358,2.350648032,1.526565375,1.947541313,2.721518302
FDXACB1,0.659576554,1.010597641,1.917526645,1.534604172,1.09367112,0.829944872,1.053738773,1.975555191,1.191779012,2.413079561
FDXR,2.110644973,2.592402644,1.421614582,2.174022576,3.078481672,2.598088296,2.796460589,3.322524639,2.55796471,2.249788463
FECH,10.77308372,14.32412308,6.479917628,10.19872356,8.303799246,8.69637888,9.199950054,3.502120566,5.726352816,4.372572739
FEM1A,16.79721625,16.91652573,12.5300448,17.74386073,12.88101542,11.98007381,12.56380844,14.36767412,16.30702502,15.89366689
